ID продавца;Продавец;Предмет;НМ;Бренд;Наименование;Ссылка WB;Ссылка Озон;Цена WB 20.10;Цена OZON 20.10;;Цена WB 10.11;Цена OZON 10.11;Дельта;КАМ;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Покрывала;110963683;Decor Magic;Покрывало Накидка 65х170 SLIM OPERA WINE на кресло;https://www.wildberries.ru/catalog/110963683/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/divandek-pokryvalo-nakidka-na-divan-65h170-slim-opera-wine-652462512/?from_sku=652463458&oos_search=false;750;951;-21,14%;806;1001;-19,48%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Покрывала;110963668;Decor Magic;Покрывало Накидка 65х170 SLIM OPERA BITTER для кресла;https://www.wildberries.ru/catalog/110963668/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/divandek-pokryvalo-nakidka-na-divan-65h170-slim-opera-bitter-652463458/?from_sku=652463458&oos_search=false;667;903;-26,14%;693;1001;-30,77%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Покрывала;327955201;Decor Magic;Накидка на кресло и диван букле SLIM BRAVO WASABI;https://www.wildberries.ru/catalog/327955201/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/pokryvalo-na-kreslo-65h170-sm-nakidka-slim-bravo-wasabi-1861207489/?from_sku=1861201224&oos_search=false;791;1003;-21,14%;850;1056;-19,51%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Покрывала;216869483;Decor Magic;Накидка на диван букле 65х170 см SLIM BRAVO SNOW;https://www.wildberries.ru/catalog/216869483/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/pokryvalo-na-divan-bukle-65h170-sm-nakidka-slim-bravo-snow-1538699196/?from_sku=1861201224&oos_search=false;791;792;-0,13%;850;792;7,32%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Покрывала;110831286;Decor Magic;Чехол накидка на диван и кресло CILIUM 65х170 см;https://www.wildberries.ru/catalog/110831286/detail.aspx;https://www.ozon.ru/product/divandek-na-divan-i-kreslo-65h170-nakidka-slim-cilium-umber-671493707/?from_sku=671493689&oos_search=false;833;951;-12,41%;693;880;-21,25%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Покрывала;110831278;Decor Magic;Накидка на кресло и диван CILIUM 65х170 см;https://www.wildberries.ru/catalog/110831278/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/chehol-nakidka-na-divan-ili-kreslo-65h170-slim-cilium-chocolate-671493700/?from_sku=671493689&oos_search=false;667;788;-15,36%;693;874;-20,71%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Покрывала;371202089;Decor Magic;Покрывало на односпальную кровать UNO CITUS GRAFIT;https://www.wildberries.ru/catalog/371202089/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/pokryvalo-uno-citus-grafit-135-210-667869986/?_bctx=CAQQyp8Y&hs=1;1265;1881;-32,75%;1265;1881;-32,75%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Ковры;216562121;Decor Magic;Ковер плюшевый нескользящий LANGORIA STONE 135х200;https://www.wildberries.ru/catalog/216562121/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/kover-na-pol-s-vorsom-langoria-stone-135h200-sm-1484935284/?from_sku=1484938197&oos_search=false;4180;4720;-11,44%;3720;4585;-18,87%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Ковры;216562103;Decor Magic;Ковер шегги в комнату пушистый LANGORIA PLUM 135х200;https://www.wildberries.ru/catalog/216562103/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/kover-dlya-kuhni-langoria-plum-135h200-sm-protivoskolzyashchiy-pushistyy-1484968881/?from_sku=1484938197&oos_search=false;4091;4521;-9,51%;4091;4521;-9,51%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
648116;"ООО ""УРАЛЬСКИЙ ТЕКСТИЛЬ""";Ковры;216264662;Decor Magic;Ковер комнатный маленький из вискозы 80х150 ковровая дорожка;https://www.wildberries.ru/catalog/216264662/detail.aspx?targetUrl=EX;https://www.ozon.ru/product/kover-80h150-prikrovatnyy-viskoznyy-original-escape-1487869410/?_bctx=CAQQyp8Y&hs=1;3223;3551;-9,24%;3223;3551;-9,24%;Миронова Валерия Олеговна;;;;;;;;;;;;;;
